path,RF,CLASS_CLRS,FILL_CLASS,POLY_TYPE,ID,CLASS_ID,CLASS_NAME,layer,b2,b3,b4,b5,b6,b7,b8,b9,system:index,b1
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.04253532,0.03470491,0.33766428,0.14953223,0.06873125,0.81359947,0.77624744,0.52092516,0_0,0.026168961
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03902462,0.030057976,0.31321028,0.13090473,0.061290205,0.8248718,0.77841705,0.50366944,0_1,0.024665328
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03407736,0.025749613,0.3243029,0.12928721,0.055219337,0.85288143,0.80982566,0.5268262,0_2,0.018188357
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.038736455,0.027362844,0.350001,0.14884095,0.06544046,0.854979,0.8007063,0.5516038,0_3,0.022684425
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03613769,0.026296021,0.32829967,0.13183257,0.057623778,0.8516845,0.80167955,0.5300816,0_4,0.021385573
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03530798,0.025380831,0.31753653,0.12683628,0.054942712,0.85197115,0.7998666,0.519901,0_5,0.019987071
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034849968,0.024731632,0.32597822,0.12683088,0.0540613,0.8589624,0.80683345,0.53116804,0_6,0.019183362
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034061905,0.0246893,0.32141364,0.13857381,0.05932897,0.8573297,0.80835867,0.526043,0_7,0.019127415
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.038196057,0.028630937,0.34707066,0.14463922,0.061430417,0.8475868,0.80171627,0.54545933,0_8,0.023184134
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034767073,0.026070267,0.32706618,0.13047194,0.05541851,0.8523502,0.8078282,0.52921647,0_9,0.021528678
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03371104,0.024142357,0.3102688,0.11857977,0.051290415,0.85561275,0.8039941,0.51436234,0_10,0.01943772
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03695822,0.026065435,0.33546144,0.13535559,0.05842252,0.8558036,0.8015238,0.53868777,0_11,0.021585157
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035110414,0.02489451,0.33878905,0.1287082,0.05412331,0.86309797,0.8121933,0.54515547,0_12,0.020982081
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035332553,0.025124619,0.3245023,0.13248497,0.056151308,0.8562775,0.80361795,0.52854556,0_13,0.020651871
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034458492,0.024557928,0.3362311,0.13023387,0.054327425,0.86386544,0.8140844,0.5431177,0_14,0.020573832
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.033142347,0.023954574,0.31943688,0.12176877,0.051836066,0.8604824,0.8120006,0.5255252,0_15,0.020682214
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035326052,0.025928257,0.31873456,0.13782968,0.058786266,0.8495442,0.80045193,0.519982,0_16,0.020807896
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034302842,0.02466607,0.32572764,0.12954456,0.055058293,0.8592094,0.8094448,0.5310392,0_17,0.019769967
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.031069577,0.023531755,0.33869773,0.11583179,0.048663635,0.87007266,0.83195066,0.5482867,1_0,0.019490356
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.030910429,0.023683583,0.33467275,0.11883181,0.049754266,0.86782104,0.830898,0.5434616,1_1,0.019825634
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03225078,0.02421533,0.3390927,0.117660485,0.049670283,0.86669534,0.8263022,0.54710025,1_2,0.02052003
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.031958938,0.024699084,0.34682077,0.11880038,0.04942085,0.8670376,0.8312532,0.5544137,1_3,0.020494776
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.032501295,0.02423428,0.33621094,0.12111383,0.050383475,0.8655314,0.8237037,0.5438638,1_4,0.020195676
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03125125,0.024147443,0.3387671,0.12040792,0.050542146,0.8669249,0.8310827,0.54690176,1_5,0.019223439
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.031173954,0.023432624,0.33307603,0.11988685,0.050517917,0.86854386,0.8288321,0.5422772,1_6,0.018705899
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.032213546,0.024031134,0.3456241,0.11953021,0.0491013,0.8699808,0.8294847,0.5546904,1_7,0.019451216
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.033279832,0.024988534,0.34108463,0.12611218,0.05227826,0.86347795,0.82220626,0.5474643,1_8,0.019311389
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.033270273,0.025186718,0.34191015,0.12139229,0.05186432,0.8627789,0.8226439,0.5479032,1_9,0.020917477
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036107823,0.026836732,0.30406648,0.12308826,0.054117315,0.8377971,0.7877099,0.500473,2_0,0.020286972
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03579901,0.027425647,0.30736616,0.123628534,0.054406956,0.836163,0.7913599,0.5030126,2_1,0.020566452
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03453109,0.027205357,0.30151713,0.12229097,0.05395634,0.83447826,0.7944873,0.4965084,2_2,0.020721687
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034862712,0.027509008,0.2806079,0.12052858,0.053003244,0.82143784,0.77897966,0.46979386,2_3,0.0212308
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036055382,0.027662136,0.30092084,0.12308681,0.05443828,0.8316277,0.7860064,0.4946856,2_4,0.02108163
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03667269,0.027717616,0.30571744,0.12361726,0.055968005,0.83374506,0.7857842,0.5003386,2_5,0.020662235
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035315704,0.02848168,0.2928749,0.12298727,0.056085996,0.822741,0.7847854,0.48284733,2_6,0.022270288
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03656325,0.028647514,0.2919514,0.12513703,0.05698425,0.8212875,0.7774026,0.4813019,2_7,0.022527983
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035938207,0.028019702,0.30833164,0.12596981,0.055706467,0.8333903,0.7912207,0.50274074,2_8,0.020198297
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036893837,0.028611058,0.2923202,0.1250682,0.056801975,0.82169974,0.77586716,0.48184752,2_9,0.02220641
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037680745,0.031014614,0.28552473,0.12987721,0.05956908,0.8040394,0.76683104,0.46754044,2_10,0.023146296
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035779253,0.028071854,0.29845613,0.120565176,0.055480096,0.8280585,0.7859039,0.49069896,2_11,0.020882176
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036014922,0.02789668,0.30513397,0.124306805,0.0552485,0.8324678,0.788861,0.49920845,2_12,0.021301258
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03696248,0.028878137,0.30391565,0.12592787,0.056315914,0.8264503,0.78313375,0.49538827,2_13,0.02242285
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037760183,0.031862427,0.29112992,0.13346156,0.063290656,0.80270475,0.7703781,0.4725454,2_14,0.02385007
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034151204,0.025765523,0.29360726,0.12224322,0.051888455,0.8386492,0.7916075,0.49032944,3_0,0.01983534
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03622168,0.02755507,0.3115773,0.12620334,0.05550618,0.83749664,0.7917091,0.50770694,3_1,0.021178655
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037373517,0.02788407,0.2994137,0.12703513,0.056191705,0.8296104,0.7780586,0.49231905,3_2,0.021341005
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035182796,0.026076045,0.29927996,0.120271616,0.052483972,0.8397076,0.78961605,0.49652013,3_3,0.019847937
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03580317,0.026661573,0.29597303,0.12594523,0.054408,0.8347259,0.7841728,0.49106514,3_4,0.02022061
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034981787,0.025728144,0.29810274,0.12253506,0.05319136,0.84110135,0.7899525,0.49592933,3_5,0.020369206
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034388702,0.024894938,0.30403003,0.119413815,0.051054657,0.84862846,0.7967683,0.5051153,3_6,0.019917738
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03558927,0.026524493,0.3095286,0.12559085,0.054344784,0.84214103,0.7937558,0.5077502,3_7,0.02103713
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036078908,0.02617645,0.3089616,0.1275902,0.0547371,0.8437871,0.79087144,0.5079133,3_8,0.020461522
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03455392,0.0253726,0.31701094,0.12512308,0.05354711,0.85178846,0.80342793,0.51930916,3_9,0.020257417
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03432952,0.024671763,0.3081059,0.12209889,0.05195201,0.85172224,0.79949784,0.5105218,3_10,0.01933062
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03500575,0.02540265,0.32077816,0.122907735,0.05199167,0.85324055,0.803219,0.52360356,3_11,0.02074072
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036451537,0.024983888,0.3147773,0.12754011,0.05319269,0.85293263,0.7924343,0.5176354,3_12,0.020353774
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035656825,0.025077704,0.32309413,0.12743154,0.053173248,0.8559464,0.80121684,0.5270449,3_13,0.020615397
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03422019,0.024237292,0.31583962,0.12042037,0.051424477,0.85745996,0.8044895,0.5206708,3_14,0.019807478
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037301105,0.026083535,0.3328417,0.12983575,0.055029057,0.85465753,0.7984502,0.5357128,4_0,0.020832438
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03581558,0.025752176,0.322468,0.123041905,0.051650073,0.85209256,0.8000713,0.5247149,4_1,0.020340985
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035613246,0.025859108,0.32840943,0.12434845,0.05148241,0.8540141,0.804335,0.5312445,4_2,0.020409038
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037551954,0.026759496,0.35277447,0.13428123,0.05569494,0.8589876,0.8075869,0.5560018,4_3,0.022121144
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034237765,0.025917474,0.3261778,0.12236868,0.051426202,0.8527815,0.81000954,0.5285682,4_4,0.020295158
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.034862567,0.026443437,0.3320594,0.12468986,0.05211698,0.8524785,0.8099729,0.5339807,4_5,0.02101828
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03768063,0.027356716,0.3617169,0.13419494,0.05497237,0.8593751,0.8113127,0.5641156,4_6,0.022317681
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.035394695,0.02701295,0.33719844,0.124847576,0.053651128,0.85166335,0.8100089,0.53838474,4_7,0.019915134
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036075067,0.027178358,0.32791483,0.12644233,0.05409572,0.8469227,0.80177987,0.52755034,4_8,0.022367671
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037564076,0.027898712,0.36346704,0.13462362,0.056144163,0.85742897,0.81266254,0.56469804,4_9,0.023256123
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03844072,0.027761705,0.33481398,0.13163447,0.055194076,0.8468639,0.79402417,0.5339571,4_10,0.020705031
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037767664,0.02769361,0.348378,0.13137826,0.05439411,0.85272163,0.80438644,0.5490722,4_11,0.020734679
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.03611303,0.027520578,0.33356246,0.12941614,0.055041924,0.8475665,0.80462307,0.5331226,4_12,0.021760631
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.036661178,0.026823582,0.35652784,0.13007392,0.053747404,0.8600575,0.8135188,0.5598637,4_13,0.021231355
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.038745284,0.029572925,0.3531964,0.13415061,0.057768,0.84547913,0.80229056,0.5499004,4_14,0.020471094
E:/Carpeta de Trabajo (Fco)/Datos para github/rois/achaparrado_2018_2210_grande.shp,ACHAPARRADO,"0,205,0",1,5,1,0,ACHAPARRAD,achaparrado_2018_2210_grande,0.037335727,0.028701885,0.35602596,0.1315411,0.055892035,0.85079384,0.810171,0.5549572,4_15,0.021171244
