cobertura,OBJECTID_1,ID,IDH,layer,b2,b3,b4,b5,b6,b7,b8,b9,system:index,b1
agua,10,,1,02_agua_val_subset,0.018,0.0105,0.0173,0.0099,0.0071,0.24460433,-0.019829994,0.019325504,0_0,0.0198
agua,167,,1,02_agua_val_subset,0.022920148,0.016848026,0.18794847,0.0650089,0.031107146,0.83546567,0.782612,0.36414862,2_0,0.010909963
agua,168,,1,02_agua_val_subset,0.021857113,0.013615516,0.026286269,0.016476322,0.011933922,0.3175485,0.09199927,0.03520294,3_0,0.021381006
agua,170,,1,02_agua_val_subset,0.020022597,0.013502209,0.02501085,0.014752924,0.010921272,0.29882437,0.11076774,0.03205672,5_0,0.020570453
agua,171,,1,02_agua_val_subset,0.021873623,0.015821062,0.029950967,0.018178575,0.012738545,0.30870175,0.15585929,0.038834635,6_0,0.024914019
cultivos,105,,2,03_cultivos_val_subset,0.07106337,0.053384595,0.41432813,0.2315201,0.11750484,0.7717206,0.7071915,0.55947936,8_0,0.038756173
cultivos,111,,2,03_cultivos_val_subset,0.06972117,0.03717915,0.5502938,0.21463321,0.09666394,0.87342685,0.77509844,0.70776194,9_0,0.037566304
cultivos,131,,2,03_cultivos_val_subset,0.075970046,0.044635918,0.48655346,0.20028038,0.09027363,0.8319397,0.7298956,0.6428269,11_0,0.032000914
cultivos,132,,2,03_cultivos_val_subset,0.07358869,0.061968002,0.32954898,0.22529832,0.11996334,0.68344665,0.6349203,0.4502118,12_0,0.036107056
estepa,34,,3,04_estepa_val,0.08171438,0.10002505,0.18623061,0.2216933,0.17128727,0.30114886,0.39006603,0.16446094,13_0,0.05871872
estepa,137,,3,04_estepa_val,0.08526975,0.11429885,0.25453383,0.27657348,0.17787185,0.380213,0.4981233,0.2421093,14_0,0.060056806
estepa,147,,3,04_estepa_val,0.11100298,0.13772964,0.20304424,0.26717144,0.22894213,0.19166549,0.29308096,0.116525844,16_0,0.07577411
estepa,214,,3,04_estepa_val,0.0905,0.1161,0.2249,0.2795,0.1962,0.3190616,0.4261256,0.19405471,17_0,0.0654
estepa,234,,3,04_estepa_val,0.12828442,0.16213845,0.22400078,0.24215683,0.20669018,0.16020733,0.27170134,0.104716614,18_0,0.07713495
estepa,294,,3,04_estepa_val,0.084444165,0.10267112,0.2014147,0.23653376,0.17706636,0.32472277,0.40918982,0.18420345,19_0,0.058196127
estepa,0,,3,04_estepa_val,0.07963759,0.096762165,0.1914816,0.2415041,0.17070797,0.3286088,0.4125271,0.18024774,20_0,0.055754248
estepa,0,,3,04_estepa_val,0.07810287,0.09394061,0.18243359,0.24018027,0.17293821,0.32019264,0.40044576,0.17097357,21_0,0.057194367
