OID_,Area_m2,Name,bdod_5-15cm_mean,bdod_15-30cm_mean,bdod_60-100cm_mean,bdod_100-200cm_mean,bdod_0-5cm_mean,bdod_30-60cm_mean,system:index
0,1.62,P1_Lago largo,86,94,118,121,82,106,0_0
0,1.62,P2 Lago largo,86,94,118,121,82,106,1_0
0,1.62,P3 Lago largo,86,94,118,121,82,106,2_0
0,1.62,P4 Lago largo,88,97,116,119,82,106,3_0
0,1.62,P5 Lago largo,88,97,116,119,82,106,4_0
0,1.62,P6 Lago largo,86,97,118,121,80,107,5_0
0,1.62,P7 Lago largo,86,94,118,121,82,106,6_0
0,1.62,P8 Lago largo,86,94,118,121,82,106,7_0
0,1.62,P9 Lago largo,86,94,118,121,82,106,8_0
0,1.62,P10 Lago largo,86,97,118,121,80,107,9_0
0,1.62,P11 Lago largo,86,97,118,121,80,107,10_0
0,1.62,P12 Lago largo,86,97,118,121,80,107,11_0
0,1.62,P1 RN Trapananda,82,91,113,116,80,101,12_0
0,1.62,P2 RN Trapananda,82,91,113,116,80,101,13_0
0,1.62,P3 RN Trapananda,81,91,113,117,80,101,14_0
0,1.62,P4 RN Trapananda,84,92,116,120,81,104,15_0
0,1.62,P5 RN Trapananda,84,92,116,120,81,104,16_0
0,1.62,P6 RN Trapananda,84,92,116,120,81,104,17_0
0,1.62,P7 RN Trapananda,85,93,118,121,81,105,18_0
0,1.62,P8 RN Trapananda,85,93,118,121,81,105,19_0
0,1.62,P9 RN Trapananda,84,92,118,122,81,106,20_0
0,1.62,P10 RN Trapananda,83,90,116,120,78,102,21_0
0,1.62,P11 RN Trapananda,83,90,116,120,78,102,22_0
0,1.62,P12 RN Trapananda,83,90,116,120,78,102,23_0
0,1.62,P1 Coyhaique alto,87,96,117,120,81,109,24_0
0,1.62,P2 Coyhaique alto,88,97,118,121,83,109,25_0
0,1.62,P3 Coyhaique alto,88,97,118,121,83,109,26_0
0,1.62,P4 Coyhaique alto,88,97,118,121,83,109,27_0
0,1.62,P5 Coyhaique alto,89,98,119,122,82,109,28_0
0,1.62,P6 Coyhaique alto,89,98,119,122,82,109,29_0
0,1.62,P7 Coyhaique alto,89,99,120,123,82,110,30_0
0,1.62,P8 Coyhaique alto,89,99,120,123,82,110,31_0
0,1.62,P9 Coyhaique alto,89,99,120,123,82,110,32_0
0,1.62,P10 Coyhaique alto,88,99,120,122,81,110,33_0
0,1.62,P11 Coyhaique alto,89,100,120,124,82,110,34_0
0,1.62,P12 Coyhaique alto,89,100,120,124,82,110,35_0
