OID_,Area_m2,Name,nitrogen_30-60cm_mean,nitrogen_15-30cm_mean,nitrogen_5-15cm_mean,nitrogen_100-200cm_mean,nitrogen_0-5cm_mean,nitrogen_60-100cm_mean,system:index
0,1.62,P1_Lago largo,3104,4182,4973,3029,6457,2601,0_0
0,1.62,P2 Lago largo,3104,4182,4973,3029,6457,2601,1_0
0,1.62,P3 Lago largo,3345,4518,3908,3283,6077,2858,2_0
0,1.62,P4 Lago largo,3345,4518,3908,3283,6077,2858,3_0
0,1.62,P5 Lago largo,3345,4518,3908,3283,6077,2858,4_0
0,1.62,P6 Lago largo,2861,3841,3615,2617,6003,2308,5_0
0,1.62,P7 Lago largo,3345,4518,3908,3283,6077,2858,6_0
0,1.62,P8 Lago largo,3104,4182,4973,3029,6457,2601,7_0
0,1.62,P9 Lago largo,3104,4182,4973,3029,6457,2601,8_0
0,1.62,P10 Lago largo,2861,3841,3615,2617,6003,2308,9_0
0,1.62,P11 Lago largo,2861,3841,3615,2617,6003,2308,10_0
0,1.62,P12 Lago largo,2861,3841,3615,2617,6003,2308,11_0
0,1.62,P1 RN Trapananda,2733,3793,5244,2847,5968,2398,12_0
0,1.62,P2 RN Trapananda,2691,3487,5434,2908,6243,2496,13_0
0,1.62,P3 RN Trapananda,2360,3161,4150,2521,5422,2233,14_0
0,1.62,P4 RN Trapananda,2463,3441,3852,2474,5279,2135,15_0
0,1.62,P5 RN Trapananda,2856,3838,6446,3002,6625,2663,16_0
0,1.62,P6 RN Trapananda,2856,3838,6446,3002,6625,2663,17_0
0,1.62,P7 RN Trapananda,2540,3519,4103,2695,5811,2353,18_0
0,1.62,P8 RN Trapananda,2511,3506,4253,2681,6003,2342,19_0
0,1.62,P9 RN Trapananda,2511,3506,4253,2681,6003,2342,20_0
0,1.62,P10 RN Trapananda,3063,3805,4029,3085,6093,2750,21_0
0,1.62,P11 RN Trapananda,3063,3805,4029,3085,6093,2750,22_0
0,1.62,P12 RN Trapananda,3063,3805,4029,3085,6093,2750,23_0
0,1.62,P1 Coyhaique alto,2447,3353,4413,2376,5447,2274,24_0
0,1.62,P2 Coyhaique alto,2517,3483,4489,2426,5354,2327,25_0
0,1.62,P3 Coyhaique alto,2517,3483,4489,2426,5354,2327,26_0
0,1.62,P4 Coyhaique alto,2517,3483,4489,2426,5354,2327,27_0
0,1.62,P5 Coyhaique alto,2347,3383,4987,2326,5236,2237,28_0
0,1.62,P6 Coyhaique alto,2347,3383,4987,2326,5236,2237,29_0
0,1.62,P7 Coyhaique alto,2250,3235,4643,2161,5540,2100,30_0
0,1.62,P8 Coyhaique alto,2347,3383,4987,2326,5236,2237,31_0
0,1.62,P9 Coyhaique alto,2347,3383,4987,2326,5236,2237,32_0
0,1.62,P10 Coyhaique alto,2538,3604,4319,2314,5744,2206,33_0
0,1.62,P11 Coyhaique alto,2638,3458,4453,2508,5624,2398,34_0
0,1.62,P12 Coyhaique alto,2638,3458,4453,2508,5624,2398,35_0
