OID_,Area_m2,Name,phh2o_100-200cm_mean,phh2o_0-5cm_mean,phh2o_5-15cm_mean,phh2o_15-30cm_mean,phh2o_30-60cm_mean,phh2o_60-100cm_mean,system:index
0,1.62,P1_Lago largo,61,57,58,58,59,60,0_0
0,1.62,P2 Lago largo,61,57,58,58,59,60,1_0
0,1.62,P3 Lago largo,61,58,58,58,59,60,2_0
0,1.62,P4 Lago largo,61,58,58,58,59,60,3_0
0,1.62,P5 Lago largo,61,58,58,58,59,60,4_0
0,1.62,P6 Lago largo,61,58,58,58,59,61,5_0
0,1.62,P7 Lago largo,61,58,58,58,59,60,6_0
0,1.62,P8 Lago largo,61,57,58,58,59,60,7_0
0,1.62,P9 Lago largo,61,57,58,58,59,60,8_0
0,1.62,P10 Lago largo,61,58,58,58,59,61,9_0
0,1.62,P11 Lago largo,61,58,58,58,59,61,10_0
0,1.62,P12 Lago largo,61,58,58,58,59,61,11_0
0,1.62,P1 RN Trapananda,60,58,58,58,59,60,12_0
0,1.62,P2 RN Trapananda,60,59,58,58,59,60,13_0
0,1.62,P3 RN Trapananda,61,59,59,59,59,60,14_0
0,1.62,P4 RN Trapananda,62,58,58,58,60,61,15_0
0,1.62,P5 RN Trapananda,61,58,58,58,60,61,16_0
0,1.62,P6 RN Trapananda,61,58,58,58,60,61,17_0
0,1.62,P7 RN Trapananda,62,58,58,58,60,61,18_0
0,1.62,P8 RN Trapananda,62,58,58,58,60,61,19_0
0,1.62,P9 RN Trapananda,62,58,58,58,60,61,20_0
0,1.62,P10 RN Trapananda,61,57,57,57,59,60,21_0
0,1.62,P11 RN Trapananda,61,57,57,57,59,60,22_0
0,1.62,P12 RN Trapananda,61,57,57,57,59,60,23_0
0,1.62,P1 Coyhaique alto,65,58,58,59,61,64,24_0
0,1.62,P2 Coyhaique alto,65,58,58,59,61,64,25_0
0,1.62,P3 Coyhaique alto,65,58,58,59,61,64,26_0
0,1.62,P4 Coyhaique alto,65,58,58,59,61,64,27_0
0,1.62,P5 Coyhaique alto,65,58,59,59,61,63,28_0
0,1.62,P6 Coyhaique alto,65,58,59,59,61,63,29_0
0,1.62,P7 Coyhaique alto,64,58,59,59,61,63,30_0
0,1.62,P8 Coyhaique alto,65,58,59,59,61,63,31_0
0,1.62,P9 Coyhaique alto,65,58,59,59,61,63,32_0
0,1.62,P10 Coyhaique alto,63,57,58,58,60,63,33_0
0,1.62,P11 Coyhaique alto,63,58,58,58,60,63,34_0
0,1.62,P12 Coyhaique alto,63,58,58,58,60,63,35_0
