OID_,Area_m2,Name,soc_30-60cm_mean,soc_100-200cm_mean,soc_5-15cm_mean,soc_60-100cm_mean,soc_0-5cm_mean,soc_15-30cm_mean,system:index
0,1.62,P1_Lago largo,516,503,1074,469,1447,778,0_0
0,1.62,P2 Lago largo,516,503,1074,469,1447,778,1_0
0,1.62,P3 Lago largo,516,503,1074,469,1447,778,2_0
0,1.62,P4 Lago largo,442,429,1082,397,1469,710,3_0
0,1.62,P5 Lago largo,442,429,1082,397,1469,710,4_0
0,1.62,P6 Lago largo,461,470,1116,444,1510,728,5_0
0,1.62,P7 Lago largo,516,503,1074,469,1447,778,6_0
0,1.62,P8 Lago largo,516,503,1074,469,1447,778,7_0
0,1.62,P9 Lago largo,516,503,1074,469,1447,778,8_0
0,1.62,P10 Lago largo,461,470,1116,444,1510,728,9_0
0,1.62,P11 Lago largo,461,470,1116,444,1510,728,10_0
0,1.62,P12 Lago largo,461,470,1116,444,1510,728,11_0
0,1.62,P1 RN Trapananda,387,406,1096,374,1519,688,12_0
0,1.62,P2 RN Trapananda,387,406,1096,374,1519,688,13_0
0,1.62,P3 RN Trapananda,375,394,1058,363,1419,684,14_0
0,1.62,P4 RN Trapananda,397,393,998,361,1334,631,15_0
0,1.62,P5 RN Trapananda,397,393,998,361,1334,631,16_0
0,1.62,P6 RN Trapananda,397,393,998,361,1334,631,17_0
0,1.62,P7 RN Trapananda,442,427,1040,401,1311,714,18_0
0,1.62,P8 RN Trapananda,442,427,1040,401,1311,714,19_0
0,1.62,P9 RN Trapananda,464,454,1022,426,1326,708,20_0
0,1.62,P10 RN Trapananda,332,339,1068,310,1383,610,21_0
0,1.62,P11 RN Trapananda,332,339,1068,310,1383,610,22_0
0,1.62,P12 RN Trapananda,332,339,1068,310,1383,610,23_0
0,1.62,P1 Coyhaique alto,458,457,894,445,1109,564,24_0
0,1.62,P2 Coyhaique alto,468,479,1045,475,1134,594,25_0
0,1.62,P3 Coyhaique alto,468,479,1045,475,1134,594,26_0
0,1.62,P4 Coyhaique alto,468,479,1045,475,1134,594,27_0
0,1.62,P5 Coyhaique alto,507,509,1105,508,1211,632,28_0
0,1.62,P6 Coyhaique alto,507,509,1105,508,1211,632,29_0
0,1.62,P7 Coyhaique alto,464,478,1024,469,1132,620,30_0
0,1.62,P8 Coyhaique alto,464,478,1024,469,1132,620,31_0
0,1.62,P9 Coyhaique alto,464,478,1024,469,1132,620,32_0
0,1.62,P10 Coyhaique alto,481,483,1087,477,1209,611,33_0
0,1.62,P11 Coyhaique alto,472,472,1043,465,1239,590,34_0
0,1.62,P12 Coyhaique alto,472,472,1043,465,1239,590,35_0
